i,lst,ts,td,lcp,cp,cd,r,dr,rt
0,1767182415,1767204016,21601,40,30,10,39,4,7
1,1767160816,1767182415,21599,40,40,0,-102,-1,-1
2,1767139214,1767160816,21602,40,40,0,-102,-1,-1
3,1767117619,1767139214,21595,40,40,0,-102,-1,-1
4,1767096016,1767117619,21603,40,40,0,-102,-1,-1
5,1767074414,1767096016,21602,50,40,10,39,4,9
6,1767052816,1767074414,21598,50,50,0,-102,-1,-1
7,1767031218,1767052816,21598,50,50,0,-102,-1,-1
8,1767009616,1767031218,21602,50,50,0,-102,-1,-1
9,1766988016,1767009616,21600,50,50,0,-102,-1,-1
10,1766966415,1766988016,21601,50,50,0,-102,-1,-1
11,1766944816,1766966415,21599,60,50,10,40,4,11
12,1766923217,1766944816,21599,60,60,0,-102,-1,-1
13,1766901614,1766923217,21603,60,60,0,-102,-1,-1
14,1766880020,1766901614,21594,60,60,0,-102,-1,-1
15,1766858414,1766880020,21606,60,60,0,-102,-1,-1